,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Krediye Uygunluk
93,0,7,35,2850000,180 M2,145 M2,6,2,14,
94,0,3,33,5950000TLarrow_downward%,215 M2,200 M2,13,0,9,
95,0,9,185,3790000,260 M2,240 M2,13,3,19,
96,0,9,49,689000,100 M2,90 M2,3,8,7,
97,0,28,43,1900000,130 M2,120 M2,6,0,9,
98,0,26,151,5300000,135 M2,98 M2,6,8,4,
99,0,14,38,1050000,110 M2,100 M2,3,0,4,
100,0,9,150,1599000,115 M2,100 M2,6,0,5,
101,0,9,227,1230000,130 M2,120 M2,3,8,18,
102,0,9,104,1100000,110 M2,100 M2,3,8,0,
103,0,9,132,1250000,90 M2,80 M2,3,0,18,
104,0,9,8,1329999,145 M2,125 M2,3,0,7,
105,0,9,8,1987000,175 M2,145 M2,6,8,5,
106,0,9,8,1935000,220 M2,200 M2,7,7,21,
107,0,7,47,2350000,125 M2,115 M2,6,2,5,
108,0,26,151,7100000,170 M2,130 M2,6,8,7,
109,0,9,227,949000,115 M2,90 M2,3,7,7,
110,0,9,41,2350000,120 M2,95 M2,3,6,14,
111,0,26,151,4500000,87 M2,52 M2,1,8,4,
112,0,26,151,5000000,117 M2,90 M2,3,8,4,
113,0,9,8,2400000,200 M2,180 M2,6,2,4,
114,0,9,132,1239000,105 M2,90 M2,3,0,5,
115,0,26,151,4100000,85 M2,75 M2,1,8,4,
116,0,9,132,1350000,120 M2,110 M2,3,8,7,
117,0,0,124,3250000,480 M2,420 M2,17,8,19,Krediye Uygun Değil
118,0,9,61,869900,120 M2,110 M2,3,0,7,
119,0,14,264,765000,100 M2,85 M2,3,8,5,
120,0,26,28,4900000,70 M2,50 M2,1,8,10,
121,0,14,172,475000,130 M2,110 M2,3,8,16,
122,0,16,195,650000,80 M2,75 M2,3,2,16,
123,0,9,132,1100000,100 M2,95 M2,3,0,18,
124,0,12,27,2550000,250 M2,200 M2,10,3,9,
125,0,9,227,1050000,85 M2,70 M2,1,0,18,
126,0,9,61,800000,100 M2,95 M2,3,7,9,
127,0,20,226,1300000,70 M2,58 M2,1,8,11,
128,0,35,9,1039999,90 M2,80 M2,3,5,18,
129,0,9,61,899000,118 M2,104 M2,3,7,5,
130,0,9,61,1549000,120 M2,100 M2,3,1,4,
131,0,9,61,759000,95 M2,75 M2,1,0,7,
132,0,14,169,830000,110 M2,100 M2,3,8,5,
133,0,14,245,630000,110 M2,100 M2,3,8,3,
134,0,7,107,1275000,185 M2,180 M2,7,7,21,
135,0,9,61,750000,100 M2,85 M2,3,0,18,
136,0,9,132,1670000,100 M2,87 M2,3,0,3,
137,0,14,249,2545000,285 M2,170 M2,9,0,4,Krediye Uygun Değil
138,0,33,201,885000,75 M2,70 M2,1,0,16,
139,0,9,8,2300000,170 M2,140 M2,6,8,5,
140,0,26,82,650000,105 M2,100 M2,3,5,19,Krediye Uygun Değil
141,0,14,181,620000,110 M2,100 M2,3,0,3,
142,0,7,35,568000,100 M2,90 M2,3,0,3,
143,0,9,61,439000,110 M2,100 M2,3,7,5,
144,0,10,210,1300000,120 M2,110 M2,6,8,5,
145,0,9,8,3500000,240 M2,190 M2,9,8,10,
146,0,14,276,1200000,250 M2,230 M2,10,7,5,
147,0,14,189,620000TLarrow_downward%,140 M2,130 M2,6,0,3,
148,0,14,156,890000,130 M2,120 M2,3,8,3,
149,0,14,276,689000,105 M2,100 M2,3,8,5,
150,0,9,132,1449000,105 M2,92 M2,3,4,5,
151,0,14,175,750000,110 M2,100 M2,3,4,5,
152,0,14,27,959000,120 M2,115 M2,3,6,5,
153,0,14,110,710000TLarrow_downward%,95 M2,85 M2,3,0,18,
154,0,7,35,3750000,190 M2,130 M2,8,1,4,
155,0,14,119,589000,100 M2,95 M2,3,8,16,
156,0,25,245,600000,150 M2,122 M2,3,2,3,Yatırıma Uygun
157,0,9,227,1250000,120 M2,100 M2,3,0,7,
158,0,20,77,1135000,86 M2,74 M2,3,4,18,
159,0,9,8,2050000,135 M2,120 M2,3,0,7,
160,0,35,251,720000,70 M2,60 M2,1,5,18,
161,0,3,249,765000,95 M2,85 M2,3,7,16,
162,0,14,14,780000TLarrow_downward,110 M2,95 M2,3,0,3,
163,0,14,181,469000,100 M2,95 M2,3,8,16,
164,0,13,135,450000TLarrow_downward,160 M2,140 M2,6,5,18,Krediye Uygun Değil
165,0,17,128,495000,130 M2,120 M2,3,5,0,Krediye Uygun Değil
166,0,17,128,515000,100 M2,90 M2,3,3,18,Krediye Uygun Değil
167,0,9,132,2990000,150 M2,135 M2,6,4,7,
