,Sehir,İlce,Mahalle,Fiyat,brüt metrekare,Net Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat
403,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,340000,110,100,2+1,4,2
404,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,439000,110,100,2+1,4,2
405,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,269999,130,120,2+1,0 (Yeni),Bahçe Katı
406,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,499999,120,110,2+1,0 (Yeni),2
407,İstanbul,Bahçelievler,Şirinevler Mahallesi,2325000,220,205,5+2,4,Çatı Dubleks
408,İstanbul,Esenyurt,Cumhuriyet Mahallesi,739000,115,102,2+1,0 (Yeni),2
409,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,539999,100,95,2+1,0 (Yeni),Yüksek Giriş
410,İstanbul,Bahçelievler,Siyavuşpaşa Mahallesi,615000,100,87,2+1,21 Ve Üzeri,5
411,İstanbul,Beylikdüzü,Yakuplu Mahallesi,889000,110,90,2+1,0 (Yeni),2
412,İstanbul,Küçükçekmece,Yeşilova Mahallesi,610000,135,120,3+1,16-20,1
413,İstanbul,Bahçelievler,Şirinevler Mahallesi,1250000,210,200,5+2,21 Ve Üzeri,Çatı Dubleks
414,İstanbul,Küçükçekmece,Halkalı Merkez Mahallesi,1600000,141,95,3+1,4,10
415,İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1575000,140,125,2+1,5-10,Villa Tipi
416,İstanbul,Beykoz,Çubuklu Mahallesi,200000000,1500,1100,6+1,21 Ve Üzeri,Müstakil
417,İstanbul,Avcılar,Gümüşpala Mahallesi,495000,130,110,3+1,21 Ve Üzeri,2
418,İstanbul,Avcılar,Denizköşkler Mahallesi,390000,110,100,3+1,21 Ve Üzeri,1
419,İstanbul,Esenyurt,Çınar Mahallesi,450000,100,90,2+1,5-10,1
420,İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1699000,270,250,5+2,0 (Yeni),4
421,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,749900,150,140,3+1,0 (Yeni),2
422,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,529900,120,105,2+1,0 (Yeni),1
423,İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,1434900,160,150,3+1,0 (Yeni),Yüksek Giriş
424,İstanbul,Beylikdüzü,Adnan Kahveci Mahallesi,800000,105,90,1+1,3,3
425,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,659000,140,120,3+1,0 (Yeni),1
426,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,439000,110,100,2+1,4,2
427,İstanbul,Fatih,Topkapı Mahallesi,870000,120,115,2+1,21 Ve Üzeri,4
428,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,1950000,165,136,3+1,21 Ve Üzeri,15
429,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,2750000,165,146,3+1,16-20,8
430,İstanbul,Çekmeköy,Güngören Mahallesi,1250000,127,105,3+1,11-15,1
431,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,739000,115,102,2+1,0 (Yeni),2
432,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,699000,146,120,3+1,0 (Yeni),1
433,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,340000,110,100,2+1,4,2
434,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,439000,110,100,2+1,4,2
435,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,269999,130,120,2+1,0 (Yeni),Bahçe Katı
436,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,499999,120,110,2+1,0 (Yeni),2
437,İstanbul,Bahçelievler,Şirinevler Mahallesi,2325000,220,205,5+2,4,Çatı Dubleks
438,İstanbul,Esenyurt,Cumhuriyet Mahallesi,739000,115,102,2+1,0 (Yeni),2
439,İstanbul,Beylikdüzü,Cumhuriyet Mahallesi,539999,100,95,2+1,0 (Yeni),Yüksek Giriş
440,İstanbul,Bahçelievler,Siyavuşpaşa Mahallesi,615000,100,87,2+1,21 Ve Üzeri,5
